File_Path,HTML_Source,Alt_Text,Exists,Image_Type,Description
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-front.jpg,indiegogo_final,ZenMirror Front View,FALSE,gallery,Product front view gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-side.jpg,indiegogo_final,ZenMirror Side View,FALSE,gallery,Product side view gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-detail.jpg,indiegogo_final,ZenMirror Detail View,FALSE,gallery,Product detail view gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-packaging.jpg,indiegogo_final,Product Packaging,FALSE,gallery,Product packaging gallery image
D:\Projects\ZenMirror_20250916\assets\images\app\dashboard.png,indiegogo_final,App Dashboard,TRUE,app,App dashboard interface screenshot
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\mentor-interface.jpg,indiegogo_final,Mentor Selection,FALSE,gallery,Mentor interface gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\analytics-view.jpg,indiegogo_final,Analytics View,FALSE,gallery,Analytics view gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\achievements-view.jpg,indiegogo_final,Achievements,FALSE,gallery,Achievements view gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\home-meditation.jpg,indiegogo_final,Home Meditation,FALSE,gallery,Home meditation scenario gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\studio-use.jpg,indiegogo_final,Studio Use,FALSE,gallery,Studio use scenario gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\office-meditation.jpg,indiegogo_final,Office Meditation,FALSE,gallery,Office meditation scenario gallery image
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\travel-setup.jpg,indiegogo_final,Travel Setup,FALSE,gallery,Travel setup scenario gallery image
D:\Projects\ZenMirror_20250916\assets\images\technology\radar-visualization.png,indiegogo_final,Radar Technology Visualization,TRUE,technology,Radar technology visualization diagram
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\closed-loop-diagram.jpg,indiegogo_final,Closed Loop System,FALSE,diagram,Closed-loop system diagram
D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\updates\manufacturing-facility.jpg,indiegogo_final,Manufacturing Facility,FALSE,update,Manufacturing facility update image
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\og-image.jpg,kickstarter_mockup,og-image,FALSE,social_media,Open Graph image for social sharing
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\video-thumbnail.jpg,kickstarter_mockup,ZenMirror Demo Video,FALSE,video_thumbnail,Demo video thumbnail for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\traditional-wearables.jpg,kickstarter_mockup,Traditional wearables,FALSE,comparison,Traditional wearables comparison image
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\zenmirror-setup.jpg,kickstarter_mockup,ZenMirror contactless setup,FALSE,comparison,ZenMirror setup comparison image
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\radar-waves.svg,kickstarter_mockup,Radar Waves,FALSE,icon,SVG icon for radar waves
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\heart-monitoring.svg,kickstarter_mockup,Heart Monitoring,FALSE,icon,SVG icon for heart monitoring
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\privacy-shield.svg,kickstarter_mockup,Privacy Shield,FALSE,icon,SVG icon for privacy shield
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\tech-diagram.svg,kickstarter_mockup,ZenMirror Technology Diagram,FALSE,diagram,SVG technology diagram
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\zen-circle.svg,kickstarter_mockup,Zen Circle,FALSE,icon,SVG Zen circle icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\lotus.svg,kickstarter_mockup,Lotus,FALSE,icon,SVG lotus icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\dove.svg,kickstarter_mockup,Dove,FALSE,icon,SVG dove icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\tree-of-life.svg,kickstarter_mockup,Tree of Life,FALSE,icon,SVG tree of life icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\column.svg,kickstarter_mockup,Column,FALSE,icon,SVG column icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\om-symbol.svg,kickstarter_mockup,Om Symbol,FALSE,icon,SVG Om symbol icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\real-time.svg,kickstarter_mockup,Real-time,FALSE,icon,SVG real-time icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\scoring.svg,kickstarter_mockup,Scoring,FALSE,icon,SVG scoring icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\achievements.svg,kickstarter_mockup,Achievements,FALSE,icon,SVG achievements icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\multi-mode.svg,kickstarter_mockup,Multi-mode,FALSE,icon,SVG multi-mode icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\closed-loop.svg,kickstarter_mockup,Closed Loop,FALSE,icon,SVG closed-loop icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\analytics.svg,kickstarter_mockup,Analytics,FALSE,icon,SVG analytics icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\hrv-research.svg,kickstarter_mockup,HRV Research,FALSE,icon,SVG HRV research icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\rsa-research.svg,kickstarter_mockup,RSA Research,FALSE,icon,SVG RSA research icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\icons\meditation-research.svg,kickstarter_mockup,Meditation Research,FALSE,icon,SVG meditation research icon
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\hrv-rsa-chart.svg,kickstarter_mockup,HRV and RSA Visualization,FALSE,chart,SVG HRV and RSA chart
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\closed-loop-diagram.svg,kickstarter_mockup,Closed Loop System,FALSE,diagram,SVG closed-loop diagram
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\team\founder.jpg,kickstarter_mockup,Founder,FALSE,team,Founder portrait for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\team\cto.jpg,kickstarter_mockup,CTO,FALSE,team,CTO portrait for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\team\advisor.jpg,kickstarter_mockup,Spiritual Advisor,FALSE,team,Advisor portrait for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\testimonials\sarah.jpg,kickstarter_mockup,Sarah M.,FALSE,testimonial,Sarah testimonial portrait for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\testimonials\david.jpg,kickstarter_mockup,David L.,FALSE,testimonial,David testimonial portrait for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\kickstarter_mockups\assets\testimonials\maya.jpg,kickstarter_mockup,Maya P.,FALSE,testimonial,Maya testimonial portrait for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\og-image.jpg,indiegogo_mockup,og-image,FALSE,social_media,Open Graph image for social sharing
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\setup-view.jpg,indiegogo_mockup,Setup View,FALSE,gallery,Setup view gallery image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\app-interface.jpg,indiegogo_mockup,App Interface,FALSE,gallery,App interface gallery image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\mentor-selection.jpg,indiegogo_mockup,Mentor Selection,FALSE,gallery,Mentor selection gallery image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\data-visualization.jpg,indiegogo_mockup,Data Visualization,FALSE,gallery,Data visualization gallery image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\story\traditional-problems.jpg,indiegogo_mockup,Traditional meditation tracking problems,FALSE,story,Traditional problems story image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\story\zenmirror-solution.jpg,indiegogo_mockup,ZenMirror contactless solution,FALSE,story,ZenMirror solution story image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\story\cultural-mentors.jpg,indiegogo_mockup,Cultural wisdom traditions,FALSE,story,Cultural mentors story image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\hrv-research.svg,indiegogo_mockup,HRV Research,FALSE,icon,SVG HRV research icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\meditation-research.svg,indiegogo_mockup,Meditation Research,FALSE,icon,SVG meditation research icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\rsa-research.svg,indiegogo_mockup,RSA Research,FALSE,icon,SVG RSA research icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\videos\tech-demo-thumb.jpg,indiegogo_mockup,Technology Demo,FALSE,video_thumbnail,Tech demo video thumbnail for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\videos\mentor-demo-thumb.jpg,indiegogo_mockup,Mentor Demo,FALSE,video_thumbnail,Mentor demo video thumbnail for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\videos\user-stories-thumb.jpg,indiegogo_mockup,User Stories,FALSE,video_thumbnail,User stories video thumbnail for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\product-front.jpg,indiegogo_mockup,ZenMirror Front View,FALSE,gallery,Product front view for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\product-side.jpg,indiegogo_mockup,ZenMirror Side View,FALSE,gallery,Product side view for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\product-detail.jpg,indiegogo_mockup,ZenMirror Detail View,FALSE,gallery,Product detail view for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\mentor-interface.jpg,indiegogo_mockup,Mentor Selection,FALSE,gallery,Mentor interface for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\analytics-view.jpg,indiegogo_mockup,Analytics View,FALSE,gallery,Analytics view for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\setup-process.jpg,indiegogo_mockup,Setup Process,FALSE,gallery,Setup process for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\meditation-session.jpg,indiegogo_mockup,Meditation Session,FALSE,gallery,Meditation session for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\feedback-system.jpg,indiegogo_mockup,Feedback System,FALSE,gallery,Feedback system for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\home-meditation.jpg,indiegogo_mockup,Home Meditation,FALSE,gallery,Home meditation for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\studio-use.jpg,indiegogo_mockup,Studio Use,FALSE,gallery,Studio use for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\gallery\group-meditation.jpg,indiegogo_mockup,Group Meditation,FALSE,gallery,Group meditation for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\heart-rate.svg,indiegogo_mockup,Heart Rate,FALSE,icon,SVG heart rate icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\breathing.svg,indiegogo_mockup,Breathing,FALSE,icon,SVG breathing icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\hrv.svg,indiegogo_mockup,HRV,FALSE,icon,SVG HRV icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\rsa.svg,indiegogo_mockup,RSA,FALSE,icon,SVG RSA icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\movement.svg,indiegogo_mockup,Movement,FALSE,icon,SVG movement detection icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\ai-analysis.svg,indiegogo_mockup,AI Analysis,FALSE,icon,SVG AI analysis icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\non-imaging.svg,indiegogo_mockup,Non-imaging,FALSE,icon,SVG non-imaging icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\local-processing.svg,indiegogo_mockup,Local Processing,FALSE,icon,SVG local processing icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\encryption.svg,indiegogo_mockup,Encryption,FALSE,icon,SVG encryption icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\icons\offline-mode.svg,indiegogo_mockup,Offline Mode,FALSE,icon,SVG offline mode icon for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\addons\premium-stand.jpg,indiegogo_mockup,Premium Stand,FALSE,addon,Premium stand addon image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\addons\travel-case.jpg,indiegogo_mockup,Travel Case,FALSE,addon,Travel case addon image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\addons\meditation-cushion.jpg,indiegogo_mockup,Meditation Cushion,FALSE,addon,Meditation cushion addon image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\updates\manufacturing-facility.jpg,indiegogo_mockup,Manufacturing Facility,FALSE,update,Manufacturing facility update image for mockup
D:\Projects\ZenMirror_20250916\outputs\ui-developer\indiegogo_mockups\assets\updates\mentor-development.jpg,indiegogo_mockup,Mentor Development,FALSE,update,Mentor development update image for mockup
